WebSocket LTT (ms): 1753243199121 | Human: 09:29:59.121 | LTP: 417.15 | Latency: 354ms | Socket Timing :09:29:59.121 | Current Timing :09:29:59.475
WebSocket LTT (ms): 1753243199342 | Human: 09:29:59.342 | LTP: 317.95 | Latency: 353ms | Socket Timing :09:29:59.342 | Current Timing :09:29:59.695
WebSocket LTT (ms): 1753243199324 | Human: 09:29:59.324 | LTP: 415.35 | Latency: 371ms | Socket Timing :09:29:59.324 | Current Timing :09:29:59.695
WebSocket LTT (ms): 1753243199307 | Human: 09:29:59.307 | LTP: 314.55 | Latency: 623ms | Socket Timing :09:29:59.307 | Current Timing :09:29:59.930
WebSocket LTT (ms): 1753243199603 | Human: 09:29:59.603 | LTP: 418.7 | Latency: 469ms | Socket Timing :09:29:59.603 | Current Timing :09:30:00.072
WebSocket LTT (ms): 1753243199587 | Human: 09:29:59.587 | LTP: 416.45 | Latency: 642ms | Socket Timing :09:29:59.587 | Current Timing :09:30:00.229
WebSocket LTT (ms): 1753243200018 | Human: 09:30:00.018 | LTP: 315.0 | Latency: 211ms | Socket Timing :09:30:00.018 | Current Timing :09:30:00.229
WebSocket LTT (ms): 1753243199450 | Human: 09:29:59.450 | LTP: 318.05 | Latency: 935ms | Socket Timing :09:29:59.450 | Current Timing :09:30:00.385
WebSocket LTT (ms): 1753243200175 | Human: 09:30:00.175 | LTP: 418.0 | Latency: 210ms | Socket Timing :09:30:00.175 | Current Timing :09:30:00.385
WebSocket LTT (ms): 1753243200000 | Human: 09:30:00.000 | LTP: 418.35 | Latency: 385ms | Socket Timing :09:30:00.000 | Current Timing :09:30:00.385
WebSocket LTT (ms): 1753243200091 | Human: 09:30:00.091 | LTP: 315.35 | Latency: 294ms | Socket Timing :09:30:00.091 | Current Timing :09:30:00.385
WebSocket LTT (ms): 1753243199450 | Human: 09:29:59.450 | LTP: 318.05 | Latency: 1076ms | Socket Timing :09:29:59.450 | Current Timing :09:30:00.526
WebSocket LTT (ms): 1753243200391 | Human: 09:30:00.391 | LTP: 316.5 | Latency: 528ms | Socket Timing :09:30:00.391 | Current Timing :09:30:00.919
WebSocket LTT (ms): 1753243200456 | Human: 09:30:00.456 | LTP: 418.0 | Latency: 463ms | Socket Timing :09:30:00.456 | Current Timing :09:30:00.919
WebSocket LTT (ms): 1753243201049 | Human: 09:30:01.049 | LTP: 415.95 | Latency: 231ms | Socket Timing :09:30:01.049 | Current Timing :09:30:01.280
WebSocket LTT (ms): 1753243201098 | Human: 09:30:01.098 | LTP: 316.0 | Latency: 182ms | Socket Timing :09:30:01.098 | Current Timing :09:30:01.280
WebSocket LTT (ms): 1753243201102 | Human: 09:30:01.102 | LTP: 316.5 | Latency: 335ms | Socket Timing :09:30:01.102 | Current Timing :09:30:01.437
WebSocket LTT (ms): 1753243200983 | Human: 09:30:00.983 | LTP: 417.25 | Latency: 454ms | Socket Timing :09:30:00.983 | Current Timing :09:30:01.437
WebSocket LTT (ms): 1753243201599 | Human: 09:30:01.599 | LTP: 316.25 | Latency: 512ms | Socket Timing :09:30:01.599 | Current Timing :09:30:02.111
WebSocket LTT (ms): 1753243201766 | Human: 09:30:01.766 | LTP: 417.45 | Latency: 361ms | Socket Timing :09:30:01.766 | Current Timing :09:30:02.127
WebSocket LTT (ms): 1753243201970 | Human: 09:30:01.970 | LTP: 415.6 | Latency: 361ms | Socket Timing :09:30:01.970 | Current Timing :09:30:02.331
WebSocket LTT (ms): 1753243202074 | Human: 09:30:02.074 | LTP: 316.9 | Latency: 257ms | Socket Timing :09:30:02.074 | Current Timing :09:30:02.331
WebSocket LTT (ms): 1753243201986 | Human: 09:30:01.986 | LTP: 315.75 | Latency: 502ms | Socket Timing :09:30:01.986 | Current Timing :09:30:02.488
WebSocket LTT (ms): 1753243201969 | Human: 09:30:01.969 | LTP: 418.25 | Latency: 519ms | Socket Timing :09:30:01.969 | Current Timing :09:30:02.488
WebSocket LTT (ms): 1753243202316 | Human: 09:30:02.316 | LTP: 416.55 | Latency: 313ms | Socket Timing :09:30:02.316 | Current Timing :09:30:02.629
WebSocket LTT (ms): 1753243202808 | Human: 09:30:02.808 | LTP: 317.2 | Latency: 562ms | Socket Timing :09:30:02.808 | Current Timing :09:30:03.370
WebSocket LTT (ms): 1753243202844 | Human: 09:30:02.844 | LTP: 417.25 | Latency: 528ms | Socket Timing :09:30:02.844 | Current Timing :09:30:03.372
WebSocket LTT (ms): 1753243202859 | Human: 09:30:02.859 | LTP: 417.4 | Latency: 535ms | Socket Timing :09:30:02.859 | Current Timing :09:30:03.394
WebSocket LTT (ms): 1753243202752 | Human: 09:30:02.752 | LTP: 316.1 | Latency: 644ms | Socket Timing :09:30:02.752 | Current Timing :09:30:03.396
WebSocket LTT (ms): 1753243202844 | Human: 09:30:02.844 | LTP: 417.25 | Latency: 691ms | Socket Timing :09:30:02.844 | Current Timing :09:30:03.535
WebSocket LTT (ms): 1753243202859 | Human: 09:30:02.859 | LTP: 417.4 | Latency: 982ms | Socket Timing :09:30:02.859 | Current Timing :09:30:03.841
WebSocket LTT (ms): 1753243203395 | Human: 09:30:03.395 | LTP: 316.2 | Latency: 448ms | Socket Timing :09:30:03.395 | Current Timing :09:30:03.843
WebSocket LTT (ms): 1753243204069 | Human: 09:30:04.069 | LTP: 417.65 | Latency: 210ms | Socket Timing :09:30:04.069 | Current Timing :09:30:04.279
WebSocket LTT (ms): 1753243204080 | Human: 09:30:04.080 | LTP: 315.55 | Latency: 199ms | Socket Timing :09:30:04.080 | Current Timing :09:30:04.279
WebSocket LTT (ms): 1753243204040 | Human: 09:30:04.040 | LTP: 317.3 | Latency: 602ms | Socket Timing :09:30:04.040 | Current Timing :09:30:04.642
WebSocket LTT (ms): 1753243203685 | Human: 09:30:03.685 | LTP: 417.9 | Latency: 959ms | Socket Timing :09:30:03.685 | Current Timing :09:30:04.644
WebSocket LTT (ms): 1753243204546 | Human: 09:30:04.546 | LTP: 417.85 | Latency: 480ms | Socket Timing :09:30:04.546 | Current Timing :09:30:05.026
WebSocket LTT (ms): 1753243204551 | Human: 09:30:04.551 | LTP: 315.9 | Latency: 475ms | Socket Timing :09:30:04.551 | Current Timing :09:30:05.026
WebSocket LTT (ms): 1753243204546 | Human: 09:30:04.546 | LTP: 417.85 | Latency: 793ms | Socket Timing :09:30:04.546 | Current Timing :09:30:05.339
WebSocket LTT (ms): 1753243204962 | Human: 09:30:04.962 | LTP: 316.3 | Latency: 379ms | Socket Timing :09:30:04.962 | Current Timing :09:30:05.341
